ff_sample,fm_sample,mf_sample,mm_sample,ff_comparative_sample,mf_comparative_sample,mf_comparative_sample,mm_comparative_sample,f_gender_sample,m_gender_sample
-0.39,-0.5,-0.125,-0.11388888888888889,-0.25,-0.04861111111111112,-0.6,-0.5000000000000001,-0.6,-0.19255952380952385
-0.5,-0.39,-0.1,-0.09375,-0.14375,-0.2916666666666667,-0.6,-0.4,-0.15,-0.16666666666666666
-0.2,-0.3125,-0.2,-0.125,-0.09999999999999999,-0.5,-0.16666666666666666,-0.0625,-0.175,-0.3125
-0.06501373626373627,-0.25625,-0.11936507936507937,-0.06333333333333332,-0.09375,-0.2777777777777778,-0.25,-0.15999999999999998,-0.21875,-0.275
-0.15555555555555559,-0.10000000000000002,-0.15555555555555559,-0.21851851851851853,-0.08333333333333333,-0.02500000000000001,-0.4,-0.44375,-0.13333333333333333,-0.17
-0.10740740740740741,-0.1875,-0.05,-0.0375,-0.9,-0.5,-0.01547619047619051,-0.5,-0.15555555555555559,-0.625
-0.1875,-0.06666666666666667,-0.16666666666666666,-0.03125,-0.125,-0.6,-0.030555555555555558,-0.22499999999999998,-0.15000000000000002,-0.4
-0.16666666666666666,-0.5,-0.18333333333333335,-0.1375,-0.11435185185185186,-0.0625,-0.3,-0.016666666666666666,-0.25,-0.3
-0.1875,-0.24583333333333335,-0.10277777777777779,-0.15499999999999997,-1.0,-0.12666666666666665,-0.05,-0.14583333333333334,-0.10714285714285715,-0.1875
-0.4,-0.21726190476190477,-0.5,-1.3877787807814457e-17,-0.05,-0.17916666666666667,-0.4,-0.0888888888888889,-0.05,-0.25
-0.5,-0.15555555555555559,-0.017857142857142863,-0.2,-0.05,-0.16666666666666666,-0.2539583333333333,-0.4,-0.11666666666666665,-0.16666666666666666
-0.3,-0.21428571428571427,-0.25,-0.15,-0.1875,-0.4,-0.008333333333333342,-0.2,-0.225,-0.16666666666666666
-0.13134920634920635,-0.24375,-0.06388888888888888,-0.125,-0.3444444444444444,-0.05357142857142857,-0.125,-0.16666666666666666,-0.6,-0.2
-0.010000000000000002,-0.016666666666666666,-0.55,-0.2833333333333334,-0.15,-0.09351851851851851,-0.06597222222222224,-0.03833333333333332,-0.20892857142857144,-0.5
-0.2,-0.15625,-0.25,-0.09999999999999999,-0.5,-0.07291666666666667,-0.16666666666666666,-1.0,-0.02,-0.03185185185185186
-0.15555555555555559,-0.07444444444444444,-0.25,-0.5,-0.2,-0.65,-0.0663265306122449,-0.012499999999999997,-0.20833333333333334,-0.035185185185185194
-0.121875,-0.021875000000000006,-0.49583333333333324,-0.07611111111111109,-0.016666666666666666,-0.16666666666666666,-0.1875,-0.19833333333333333,-0.48928571428571427,-0.6
-0.7049999999999998,-0.08333333333333333,-0.046875,-0.0225,-0.07211538461538461,-0.05833333333333332,-0.2,-0.4,-0.06953125,-0.15555555555555559
-0.11333333333333336,-0.25,-0.033333333333333354,-0.1875,-0.12698412698412698,-0.10740740740740741,-0.16666666666666666,-0.08645833333333333,-0.3,-0.0625
-0.1,-0.234375,-0.35,-0.07777777777777779,-0.05,-0.125,-0.05,-0.07777777777777779,-0.1875,-0.125
-0.15555555555555559,-0.3,-0.08333333333333333,-0.16666666666666666,-0.125,-0.006397306397306411,-0.3,-0.2,-0.1,-0.15555555555555559
-0.1875,-0.0625,-0.2833333333333333,-0.037500000000000006,-0.25,-0.08571428571428573,-0.012499999999999983,-0.35625,-0.06458333333333333,-0.07500000000000001
-0.1,-0.13749999999999998,-0.010833333333333339,-0.025,-0.08750000000000001,-0.22857142857142856,-0.11666666666666668,-0.13,-0.17660218253968255,-0.018518518518518528
-0.2,-0.14583333333333334,-0.03888888888888884,-0.04375,-0.25,-0.1722222222222222,-0.2,-0.1,-0.008333333333333331,-0.05
-0.1875,-0.05,-0.030555555555555558,-0.1699074074074074,-0.4,-0.05,-0.1,-0.16666666666666666,-0.3,-0.55
-0.20833333333333334,-0.16666666666666666,-0.5,-0.2,-0.13333333333333333,-0.01,-0.1,-0.03333333333333333,-0.06666666666666665,-0.013425925925925933
-0.175,-0.625,-0.1,-0.04583333333333334,-0.0625,-0.7,-0.06666666666666667,-0.625,-0.09166666666666669,-0.3125
-0.10714285714285715,-0.5625,-0.30357142857142855,-0.03333333333333333,-0.15,-0.7,-0.012499999999999997,-0.07760416666666667,-0.20833333333333331,-0.15555555555555559
-0.022222222222222216,-0.21,-0.2,-0.15555555555555559,-0.033333333333333326,-0.11111111111111112,-0.05,-0.24375000000000002,-0.2,-0.5
-0.1875,-0.3,-0.21,-0.125,-0.5,-0.2,-0.15625,-0.625,-0.033333333333333326,-0.04999999999999999
-0.009374999999999994,-0.2,-0.2,-0.6666666666666666,-0.13333333333333333,-0.5,-0.049999999999999996,-0.35,-0.00833333333333334,-0.1511904761904762
-0.21875,-0.6,-0.2,-0.2833333333333333,-0.09583333333333333,-0.2847222222222222,-0.14,-0.05,-0.5,-0.3125
-0.2,-0.05,-0.0625,-0.1,-0.5,-0.22361111111111115,-0.1875,-0.0625,-0.75,-0.025
-0.2,-0.5,-0.03194444444444444,-1.0,-0.11875,-0.05,-0.029761904761904767,-0.3125,-0.09375,-0.6
-0.171875,-0.1416666666666667,-0.16666666666666666,-0.1,-0.12222222222222223,-0.0825892857142857,-0.02013888888888889,-0.15555555555555559,-0.03571428571428571,-0.1875
-0.25833333333333336,-0.033333333333333354,-0.75,-0.09861111111111112,-0.3499999999999999,-0.015277777777777788,-0.07916666666666666,-0.15555555555555559,-0.1875,-0.10476190476190478
-0.371875,-0.30000000000000004,-0.30000000000000004,-0.55,-0.1875,-0.65,-0.52,-0.1,-0.037259615384615384,-0.16666666666666666
-0.04375,-1.0,-0.013888888888888886,-0.012499999999999997,-0.07999999999999999,-0.027083333333333334,-0.3125,-0.25,-0.1,-0.125
-0.07187500000000001,-0.39583333333333337,-0.16666666666666666,-0.125,-0.04583333333333334,-0.1,-0.1875,-0.175,-0.2535,-0.1
-0.09523809523809523,-0.5,-0.6499999999999999,-0.19603174603174603,-0.1,-0.21075174825174822,-0.08333333333333333,-0.25,-0.15000000000000002,-0.21746031746031746
-0.125,-0.5,-0.15833333333333333,-0.4,-1.0,-0.07857142857142857,-0.07187500000000001,-0.2,-0.06428571428571428,-0.07777777777777779
-0.1,-0.5,-0.004999999999999999,-0.15333333333333338,-0.05,-0.03125,-0.17500000000000002,-0.0625,-0.5447916666666667,-0.1875
-0.17708333333333331,-0.3,-0.23333333333333336,-0.012499999999999997,-0.0025000000000000022,-0.5,-0.04375,-0.5,-0.16499999999999998,-0.1
-0.1875,-0.3125,-0.5,-0.5,-0.3,-0.0375,-0.2,-0.1875,-0.016666666666666663,-0.05
-0.375,-0.1875,-0.033333333333333326,-0.2,-0.10694444444444447,-0.1875,-0.2916666666666667,-0.15555555555555559,-0.5,-0.03495370370370372
-0.05,-0.03518518518518519,-0.25,-0.3111111111111111,-0.024999999999999994,-0.03497023809523809,-0.15555555555555559,-0.16666666666666666,-0.17708333333333331,-0.046875
-0.175,-0.6,-0.04066666666666666,-0.2333333333333333,-0.5,-0.13392857142857142,-0.125,-0.4,-0.1875,-0.05
-0.15555555555555559,-0.075,-0.29285714285714287,-0.016666666666666666,-0.2,-0.02100694444444445,-0.35,-0.2,-0.11250000000000002,-1.0
-0.2,-0.44375,-0.7,-0.18598484848484842,-1.0,-0.5,-0.12638888888888888,-0.175,-0.16666666666666666,-0.0625
-0.020833333333333332,-0.2,-0.07999999999999999,-0.3,-0.14999999999999997,-0.25,-0.020833333333333332,-0.15555555555555559,-0.007499999999999995,-0.1
-0.1875,-0.125,-0.1111111111111111,-0.21666666666666667,-0.025,-0.09246031746031745,-0.16666666666666666,-0.5,-0.1875,-0.071875
-0.4,-0.1,-0.1875,-0.2,-0.1875,-0.3,-0.6999999999999998,-0.3,-0.273,-0.1875
-0.096875,-0.1025,-0.21,-0.07006172839506172,-0.14375,-0.05833333333333333,-0.5,-0.16666666666666666,-0.125,-0.05
-0.11666666666666665,-0.05,-0.1261904761904762,-0.019999999999999997,-0.6,-0.1,-0.2,-0.08333333333333333,-0.2625,-0.23666666666666666
-0.046666666666666634,-0.051851851851851864,-0.08333333333333333,-0.008518518518518528,-0.6,-0.625,-0.4,-0.1875,-0.15555555555555556,-0.29296875
-0.25,-0.19583333333333333,-0.16435185185185186,-0.5,-0.3666666666666667,-0.16666666666666666,-0.2777777777777778,-1.0,-0.1875,-0.05
-0.08333333333333333,-0.3,-0.1,-0.21428571428571427,-0.15000000000000002,-0.13333333333333333,-0.5,-0.346875,-0.1875,-0.049305555555555575
-0.21,-0.15555555555555559,-0.6999999999999998,-0.25,-0.09375,-0.25,-0.05,-0.2,-0.029166666666666664,-0.14375
-0.32857142857142857,-0.025568181818181823,-0.08518518518518518,-0.06666666666666667,-0.39999999999999997,-0.15555555555555559,-0.2,-0.037500000000000006,-0.2,-0.03333333333333334
-0.2777777777777778,-0.09523809523809523,-0.375,-0.05555555555555555,-0.1875,-0.15555555555555559,-0.3,-0.5833333333333334,-0.17500000000000002,-0.4
-0.15,-0.2,-1.0,-0.1,-0.125,-0.04149305555555556,-0.13333333333333333,-0.6,-0.1875,-0.32857142857142857
-0.5,-0.10000000000000002,-0.2,-0.04999999999999993,-0.033333333333333326,-0.4,-0.15555555555555559,-1.0,-0.3171875,-0.21000000000000002
-0.09351851851851851,-0.10000000000000002,-0.08333333333333333,-0.008333333333333331,-0.24583333333333335,-0.5,-0.3125,-0.008333333333333331,-0.16666666666666666,-0.4458333333333333
-0.25,-0.3171875,-0.1,-0.5,-0.1875,-0.23958333333333334,-0.025,-0.11701388888888889,-0.13999999999999999,-0.125
-0.1625,-0.12,-0.15000000000000002,-0.2,-0.15138888888888888,-0.5,-0.13125,-0.425,-0.0763888888888889,-0.4277777777777777
-0.3187499999999999,-0.10000000000000002,-0.08333333333333333,-0.25,-0.04999999999999999,-0.4,-0.125,-0.2,-0.1,-0.0625
-0.5,-0.5999999999999999,-0.1875,-1.0,-0.3333333333333333,-0.0625,-0.0839285714285714,-0.6,-0.09999999999999999,-0.16666666666666666
-0.31666666666666665,-0.044444444444444446,-0.3158730158730159,-0.5,-0.1277777777777778,-0.3499999999999999,-0.5,-0.4,-0.30000000000000004,-0.25
-0.13333333333333333,-0.2,-0.5,-0.30000000000000004,-0.09375,-0.25,-0.65,-0.09047619047619047,-0.4,-0.1111111111111111
-1.0,-0.4,-0.0787037037037037,-0.5000000000000001,-0.039285714285714285,-0.5,-0.125,-0.15,-0.4583333333333333,-0.25
-0.14285714285714285,-0.4,-0.059375,-0.6666666666666666,-0.4018518518518519,-0.4930555555555556,-0.2277777777777778,-0.14166666666666666,-0.05111111111111113,-0.04583333333333334
-0.2,-0.2619047619047619,-0.21875,-0.10833333333333334,-0.2,-0.21428571428571427,-0.55,-0.10714285714285715,-0.05,-0.375
-1.0,-0.1375,-0.3125,-0.056249999999999994,-0.125,-0.20185185185185187,-0.15555555555555559,-0.19375,-0.0625,-0.0625
-0.29583333333333334,-0.1875,-0.125,-0.05,-0.03333333333333335,-0.21388888888888888,-0.025000000000000022,-0.05000000000000002,-0.1,-0.225
-0.061805555555555565,-0.2785714285714286,-0.28833333333333333,-0.0875,-0.5,-0.05,-0.02500000000000001,-0.033333333333333326,-0.075,-0.09375
-0.02500000000000001,-0.2,-0.0023809523809523803,-0.03750000000000001,-0.4,-0.25,-0.125,-0.05,-0.1875,-0.05119047619047619
-0.40499999999999997,-0.3666666666666667,-0.05,-6.938893903907228e-18,-0.22954545454545452,-0.15000000000000002,-0.44375,-0.275,-0.1722222222222222,-0.2
-0.2,-0.1,-0.04791666666666668,-0.3,-0.07777777777777779,-0.11875,-0.15555555555555559,-0.13333333333333333,-0.21851851851851853,-0.3625
-0.096875,-0.2916666666666667,-0.4,-0.037500000000000006,-0.02083333333333334,-0.1875,-0.05,-0.07037037037037039,-0.1795138888888889,-0.10714285714285714
-0.65,-0.1,-0.2,-0.09999999999999998,-0.4,-0.2916666666666667,-0.5,-0.21666666666666667,-0.5,-0.4
-0.3125,-0.225,-0.29375,-0.125,-0.2916666666666667,-0.125,-0.1875,-0.05000000000000001,-0.04111111111111112,-0.07777777777777779
-0.2,-0.1388888888888889,-0.15555555555555559,-0.5,-0.4,-0.10902777777777777,-0.05,-0.5,-0.04375,-0.08888888888888889
-0.125,-0.2,-0.046875000000000014,-0.5,-0.6,-0.10340909090909091,-1.0,-0.2,-0.05,-0.1
-0.5,-0.2916666666666667,-0.0654421768707483,-0.08218750000000001,-0.52,-0.25,-0.5,-0.10000000000000003,-0.15625,-0.07777777777777779
-0.09375,-0.1,-0.09999999999999998,-0.14799999999999996,-0.022916666666666675,-0.21250000000000002,-0.05,-0.1402777777777778,-0.17857142857142858,-0.07142857142857142
-0.0014880952380952606,-0.5,-0.042176870748299324,-0.4,-0.024999999999999994,-0.3125,-0.04583333333333334,-0.05,-0.025,-0.041666666666666664
-0.25,-0.42500000000000004,-1.0,-0.061111111111111116,-0.33666666666666667,-0.16666666666666666,-0.02777777777777779,-0.03333333333333333,-0.14,-0.2988888888888889
-0.125,-0.05,-0.13749999999999996,-0.140625,-0.06000000000000001,-0.29375,-0.5,-0.1392857142857143,-0.1875,-0.3
-0.25,-0.0915,-0.0625,-0.07777777777777779,-0.12187500000000001,-0.4,-0.125,-0.1,-0.1,-0.01990740740740742
-0.2,-0.9099999999999998,-0.05,-0.4,-0.134375,-0.026666666666666672,-0.0023809523809523725,-0.24375000000000002,-0.4,-0.25
-0.075,-0.1875,-0.09999999999999999,-0.17500000000000002,-0.13333333333333333,-0.15555555555555559,-0.2125,-0.8571428571428572,-0.10138888888888889,-0.11875
-0.016666666666666663,-0.15555555555555559,-0.21875,-0.1027777777777778,-0.2,-0.12916666666666668,-0.13703703703703707,-0.3,-0.4,-0.225
-0.15833333333333333,-0.35,-0.06666666666666667,-0.05,-0.1875,-0.22499999999999998,-0.25,-0.13000000000000003,-0.06666666666666667,-0.2
-0.5,-0.07500000000000001,-0.16666666666666666,-0.1,-0.35,-0.11249999999999999,-0.15555555555555559,-0.2,-0.15,-0.16666666666666666
-0.1875,-0.25,-0.3125,-0.1416666666666667,-0.1875,-0.038888888888888896,-0.2785714285714286,-0.08333333333333334,-0.5,-0.02583333333333333
-0.08499999999999999,-0.14583333333333334,-0.1,-0.15625,-0.2,-0.10833333333333334,-0.2,-0.17083333333333334,-0.16666666666666666,-0.05
-0.024999999999999994,-0.4,-0.6171875,-0.025,-0.06833333333333334,-0.09375,-0.0125,-0.2,-0.15555555555555559,-0.16666666666666666
-0.19166666666666665,-0.4,-0.012499999999999976,-0.3125,-0.19375,-0.025641025641025644,-0.08888888888888889,-0.2,-0.195,-0.09999999999999999
-0.4,-0.125,-0.15000000000000002,-0.018518518518518528,-0.2,-0.15000000000000002,-0.5,-0.2,-0.07500000000000001,-0.2
-0.19375,-0.06845238095238095,-0.25,-0.08333333333333333,-0.17857142857142858,-0.002083333333333333,-0.037500000000000006,-0.30000000000000004,-0.1875,-0.15555555555555559
-0.09999999999999992,-0.30000000000000004,-0.045,-0.2507936507936508,-0.19166666666666665,-0.3125,-0.021164021164021163,-0.6,-0.39999999999999997,-0.1875
-0.3125,-0.05,-0.16898148148148148,-1.0,-0.07142857142857144,-0.25,-0.3125,-0.046875,-0.16666666666666666,-0.125
-0.22291666666666665,-0.5,-0.25,-0.025,-0.09375,-0.06354166666666666,-0.25,-0.12179487179487179,-0.19499999999999998,-0.25
-0.19999999999999998,-0.1875,-0.01249999999999999,-0.08333333333333333,-0.4,-0.15555555555555559,-0.125,-0.04047619047619048,-0.221875,-0.0035714285714285657
-0.7142857142857143,-0.125,-0.028124999999999997,-0.13888888888888887,-0.31333333333333335,-0.25,-0.2125,-0.15555555555555559,-0.24722222222222223,-0.06388888888888888
-0.2,-0.2,-0.19375,-0.03190476190476191,-0.19999999999999998,-0.03833333333333333,-0.4,-0.2,-0.011111111111111108,-0.0475
-0.3,-0.029629629629629645,-0.5,-0.21875,-0.4,-0.20000000000000004,-0.12499999999999994,-0.2625,-0.1875,-0.14285714285714285
-0.041666666666666664,-0.5,-0.0625,-0.07500000000000001,-0.5499999999999999,-0.13333333333333333,-0.07407407407407408,-0.05625,-0.03333333333333333,-0.025
-0.5,-0.05,-0.225,-0.08333333333333333,-0.09375,-0.0375,-9.25185853854297e-18,-0.05,-0.10000000000000002,-0.20476190476190478
-0.25,-0.10833333333333334,-0.017500000000000005,-0.1125,-0.033333333333333326,-0.6,-0.033333333333333326,-0.07000000000000002,-0.1,-0.03333333333333333
-0.4,-0.3076923076923077,-0.2518518518518518,-0.09999999999999999,-0.18125000000000002,-0.051851851851851864,-0.15625,-0.04375,-0.44999999999999996,-0.19444444444444448
-0.13,-0.08333333333333333,-0.03541666666666667,-0.02,-0.15000000000000002,-0.025000000000000005,-0.17285714285714285,-0.16666666666666666,-0.6999999999999998,-0.05
-0.29375,-0.2,-0.1,-0.08333333333333333,-0.5125,-0.30000000000000004,-0.12916666666666668,-0.875,-0.1,-0.025
-0.05937500000000001,-0.125,-0.08571428571428573,-0.04999999999999999,-0.012499999999999997,-0.25,-0.15555555555555559,-0.4,-0.2380952380952381,-0.25
-0.05,-0.05,-0.02500000000000001,-0.1375,-0.01541666666666669,-0.1,-0.20000000000000004,-0.325,-0.12638888888888888,-0.25
-0.4,-0.29583333333333334,-0.2,-0.30000000000000004,-0.16666666666666666,-0.11393298059964728,-0.13125,-0.008333333333333331,-0.3,-0.15555555555555559
-0.13333333333333333,-0.4,-0.25,-0.17396825396825397,-0.05,-0.15,-0.038,-0.025,-0.6,-0.05
-0.125,-0.056249999999999994,-0.25,-0.03333333333333333,-0.30000000000000004,-0.2,-0.05,-0.2,-0.1,-0.025
-0.2,-0.2,-0.125,-0.05,-0.19999999999999998,-0.03461538461538462,-0.25,-0.09999999999999999,-0.21000000000000002,-1.0
-0.051388888888888894,-0.05,-0.06857142857142856,-0.30000000000000004,-0.09999999999999998,-0.1261904761904762,-0.25,-0.025,-0.10416666666666669,-0.44999999999999996
-0.04464285714285714,-0.5,-0.15555555555555559,-0.2333333333333333,-0.3125,-0.1875,-0.09999999999999998,-0.1,-0.32499999999999996,-0.3
-0.05,-0.35000000000000003,-0.060000000000000005,-0.1686111111111111,-0.17083333333333334,-0.06865079365079366,-0.08333333333333333,-0.5,-0.4,-0.17142857142857143
-1.0,-0.10357142857142858,-0.15000000000000002,-0.046875,-0.125,-0.1,-0.020833333333333332,-0.045578231292517014,-0.2833333333333333,-0.2066666666666667
-0.35,-0.1375,-0.15,-0.2,-0.0625,-0.041666666666666664,-0.09999999999999999,-0.05,-0.25,-0.03333333333333333
-0.12222222222222223,-0.10000000000000002,-0.14583333333333334,-0.125,-0.007499999999999995,-0.01339285714285715,-0.0020634920634920767,-0.16666666666666666,-0.1,-0.1875
-0.175,-0.30000000000000004,-0.012500000000000002,-0.16666666666666666,-0.020535714285714254,-0.2892857142857143,-0.5,-0.07666666666666669,-0.5,-0.2
-0.05,-0.3,-0.14583333333333334,-0.1,-0.15,-0.1,-0.1875,-0.21,-0.019999999999999945,-0.08928571428571429
-0.06000000000000001,-0.2958333333333334,-0.18333333333333335,-0.125,-0.2,-0.15555555555555559,-0.016666666666666666,-0.15,-0.34375,-0.125
-0.15555555555555559,-0.5,-0.3125,-0.0625,-0.4,-0.13518518518518519,-0.033333333333333326,-0.05,-0.3,-0.16
-0.5,-0.049999999999999996,-0.15555555555555559,-0.13333333333333333,-0.7,-0.2333333333333333,-0.125,-0.15625,-0.6,-0.08333333333333333
-0.3125,-0.15555555555555559,-0.08645833333333333,-0.16666666666666666,-0.3236111111111111,-0.06666666666666665,-0.1,-0.16666666666666666,-0.3,-0.1
-0.19999999999999998,-0.3791666666666667,-0.65,-0.15000000000000002,-0.175,-0.1,-0.15625,-0.05000000000000001,-0.1708333333333333,-0.1
-0.8,-0.125,-0.1,-0.11701388888888889,-0.08249999999999999,-0.15277777777777773,-0.25,-0.10500000000000001,-0.21875,-0.07777777777777779
-0.3277777777777778,-0.125,-0.2,-0.05357142857142857,-0.18749999999999997,-0.9375,-0.011458333333333329,-0.2,-0.05,-0.1875
-0.273,-0.3,-0.19375,-0.2055844155844156,-0.25,-0.2,-0.155,-0.09375,-0.22544642857142858,-0.6
-0.4,-0.16666666666666666,-0.052777777777777764,-0.07777777777777779,-0.2,-0.09999999999999999,-0.44,-0.0625,-0.16851851851851854,-0.05
-0.1,-0.19999999999999998,-0.25,-0.125,-0.18333333333333335,-0.025,-0.05,-0.024999999999999998,-0.4,-0.5
-0.15,-0.021875000000000006,-0.25,-0.0857142857142857,-0.008333333333333331,-0.17075,-0.1375,-0.08499999999999999,-0.05,-0.15000000000000002
-0.049999999999999996,-1.0,-0.084375,-0.2,-0.3,-0.08333333333333333,-0.025,-0.11805555555555554,-0.050000000000000024,-0.30000000000000004
-0.15555555555555559,-0.15555555555555559,-0.12000000000000001,-0.2,-0.2729166666666667,-0.2935185185185185,-0.03250000000000001,-0.24166666666666664,-0.075,-0.125
-0.035876623376623375,-0.05,-0.125,-0.06,-0.125,-0.29999999999999993,-0.07777777777777779,-0.1,-0.25,-0.09999999999999999
-0.225,-0.07777777777777779,-0.15555555555555559,-0.6499999999999999,-0.3,-0.22499999999999998,-0.05,-0.0625,-0.1875,-0.65
-0.1875,-0.25,-0.1,-0.15555555555555559,-0.3,-0.07777777777777779,-0.4791666666666667,-0.1,-0.65,-0.06666666666666667
-0.1875,-0.1375,-0.0773809523809524,-0.25,-1.0,-0.5,-0.08333333333333333,-0.125,-0.1875,-0.09999999999999992
-0.09083333333333332,-0.037500000000000006,-0.2,-0.09583333333333333,-0.2,-0.04999999999999999,-0.1,-0.3,-0.21,-0.8928571428571429
-0.35,-0.18333333333333335,-0.225,-0.02500000000000001,-0.3,-0.45,-0.3,-0.8,-0.04999999999999999,-0.8
-0.04999999999999999,-0.21666666666666667,-0.16666666666666666,-0.041666666666666664,-0.08333333333333334,-0.018518518518518528,-0.23750000000000002,-0.06865079365079366,-0.2916666666666667,-0.6999999999999998
